epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2102.04,1.08178,2.82281,1.49474,0.5173,0.4599,0.46369,0.32864,1.25954,2.49238,1.6609,0.000144105,0.000144105,0.000144105
2,4103.41,1.0207,1.71942,1.41349,0.60419,0.54493,0.55314,0.36579,1.33254,2.07203,1.74172,0.000283381,0.000283381,0.000283381
3,6020.85,1.04075,1.56649,1.41502,0.61722,0.56135,0.58364,0.40469,1.23818,1.74634,1.67703,0.000416914,0.000416914,0.000416914
4,8070.66,1.03555,1.48867,1.41334,0.53791,0.58146,0.56775,0.40592,1.27957,1.85028,1.70809,0.000409161,0.000409161,0.000409161
5,9765.97,0.99674,1.40093,1.38589,0.6387,0.57249,0.61443,0.4269,1.24773,1.62049,1.64755,0.000400548,0.000400548,0.000400548
6,11422.9,0.99509,1.31835,1.37755,0.65,0.62492,0.64343,0.46157,1.21644,1.49125,1.589,0.000391935,0.000391935,0.000391935
7,13166.8,0.96744,1.2441,1.36501,0.59179,0.61454,0.64399,0.44837,1.24306,1.49005,1.61762,0.000383322,0.000383322,0.000383322
8,16776.8,0.96394,1.2184,1.35556,0.63598,0.64786,0.67171,0.46508,1.27754,1.40002,1.61755,0.000374709,0.000374709,0.000374709
9,19336.9,0.95472,1.16552,1.35059,0.67475,0.67512,0.70021,0.49139,1.21235,1.31658,1.55886,0.000366096,0.000366096,0.000366096
10,21458,0.93134,1.12044,1.33403,0.64581,0.69708,0.72437,0.52214,1.14856,1.3195,1.51589,0.000357483,0.000357483,0.000357483
11,23677.6,0.9432,1.10978,1.33665,0.71664,0.66942,0.72173,0.52686,1.14986,1.23055,1.52163,0.00034887,0.00034887,0.00034887
12,25781.7,0.89283,1.00389,1.30356,0.69968,0.72475,0.75137,0.54443,1.13647,1.14538,1.4879,0.000340257,0.000340257,0.000340257
